"original_column","original_role","preprocessing","output_columns","levels"
"id","identifier","dropped","",""
"cardio","target","dropped from X (used as y/label)","",""
"age","numeric","median imputation + standardization(z-score)","age",""
"height","numeric","median imputation + standardization(z-score)","height",""
"weight","numeric","median imputation + standardization(z-score)","weight",""
"ap_hi","numeric","median imputation + standardization(z-score)","ap_hi",""
"ap_lo","numeric","median imputation + standardization(z-score)","ap_lo",""
"gender","categorical","most_frequent imputation + one_hot","gender__1;gender__2","1;2"
"cholesterol","categorical","most_frequent imputation + one_hot","cholesterol__1;cholesterol__2;cholesterol__3","1;2;3"
"gluc","categorical","most_frequent imputation + one_hot","gluc__1;gluc__2;gluc__3","1;2;3"
"smoke","categorical","most_frequent imputation + one_hot","smoke__0;smoke__1","0;1"
"alco","categorical","most_frequent imputation + one_hot","alco__0;alco__1","0;1"
"active","categorical","most_frequent imputation + one_hot","active__0;active__1","0;1"
