"original_column","original_role","preprocessing","output_columns","levels"
"id","identifier","dropped","",""
"age","numeric","median imputation + standardization(z-score)","age",""
"sex","categorical","most_frequent imputation + one_hot","sex__Female;sex__Male","Female;Male"
"dataset","categorical","most_frequent imputation + one_hot","dataset__Cleveland","Cleveland"
"cp","categorical","most_frequent imputation + one_hot","cp__asymptomatic;cp__atypical_angina;cp__non_anginal;cp__typical_angina","asymptomatic;atypical angina;non-anginal;typical angina"
"trestbps","numeric","median imputation + standardization(z-score)","trestbps",""
"chol","numeric","median imputation + standardization(z-score)","chol",""
"fbs","categorical","most_frequent imputation + one_hot","fbs__0;fbs__1","0;1"
"restecg","categorical","most_frequent imputation + one_hot","restecg__lv_hypertrophy;restecg__normal;restecg__st_t_abnormality","lv hypertrophy;normal;st-t abnormality"
"thalch","numeric","median imputation + standardization(z-score)","thalch",""
"exang","categorical","most_frequent imputation + one_hot","exang__0;exang__1","0;1"
"oldpeak","numeric","median imputation + standardization(z-score)","oldpeak",""
"slope","categorical","most_frequent imputation + one_hot","slope__downsloping;slope__flat;slope__upsloping","downsloping;flat;upsloping"
"ca","categorical","most_frequent imputation + one_hot","ca__0;ca__1;ca__2;ca__3","0;1;2;3"
"thal","categorical","most_frequent imputation + one_hot","thal__fixed_defect;thal__normal;thal__reversable_defect","fixed defect;normal;reversable defect"
"num","target","dropped from X (used as y/label)","",""
